가게명,별점,주소,카테고리,위도,경도
충장로 피터테이블,4.41,광주 동구 금남로 242-1 2층,패밀리레스토랑,35.148123573648,126.918081276463
양동통닭,4.31,광주 서구 천변좌로 262,"치킨,닭강정",35.1527810162048,126.904448815633
가매일식,4.25,광주 서구 상무대로 1104-26,일식당,35.1525417762542,126.88379686439
어센틱비스트로,4.4,광주 남구 봉선로79번길 9,양식,35.126688617186,126.906834718957
엄마네돼지찌개,4.3,광주 동구 문화전당로23번길 33,한식,35.1436897129313,126.916143074255
상무초밥 상무점,4.42,광주 서구 운천로 253,"초밥,롤",35.1549681263917,126.854409490311
카페밀당,4.32,광주 남구 제중로46번길 14 1층,"카페,디저트",35.1386177989857,126.915179811535
크래버대게나라 광주상무점,4.34,광주 서구 운천로 213,게요리,35.1512243796957,126.854526782498
테스팅노트,4.64,광주 서구 군분로159번길 13,양식,35.1455592395588,126.885919353178
아필코 본점,4.45,광주 광산구 첨단중앙로124번길 27 더124빌딩,브런치,35.2166662063011,126.843766056248
백족발 본점,4.54,광주 광산구 왕버들로252번길 33 백족발 본점,"족발,보쌈",35.1950823945821,126.835695597448
피가로 동명동점,4.15,광주 동구 동계천로 122,양식,35.1499853144771,126.923282803717
고다미,4.3,광주 서구 상무자유로 170 이연안과,"초밥,롤",35.1512823999076,126.85271346464
영미오리탕,4.19,광주 북구 경양로 126,오리요리,35.1612881265587,126.905467309492
송학한정식,4.28,광주 서구 상무중앙로 101,한정식,35.1559350804498,126.847788861533
명화식육식당,4.37,광주 광산구 평동로 421,"육류,고기요리",35.1230002096416,126.722448487961
매드포갈릭 광주광천점,4.33,광주 서구 죽봉대로 86 대인빌딩 1층,이탈리아음식,35.1609384583481,126.883867462152
장독대,4.18,광주 동구 문화전당로 43 3층,한식,35.1463172978034,126.918559682473
어나더키친 전대점,4.5,광주 북구 용봉로 77 용봉문화관 1층,양식,35.1738813321332,126.911144724821
월계수식당,4.27,광주 동구 충장로 102-11,한식,35.1467792507971,126.917501552927
SOKOA,4.6,광주 남구 천변좌로 468,한식,35.1387767233318,126.91902168959
연화,4.43,광주 광산구 첨단중앙로170번길 20,중식당,35.2205117130211,126.842920948391
깐깐한족발 본점,4.61,광주 광산구 첨단중앙로116번길 46 깐깐한족발,"족발,보쌈",35.2156935117088,126.845273058736
어느멋진날,4.2,광주 북구 하서로483번길 2,양식,35.2177999536232,126.877455201651
그런느낌,4.38,광주 광산구 수완로9번길 22-1,"카페,디저트",35.184802897347,126.826827433601
RONNIQUE,4.15,광주 동구 동계천로 137-13,프랑스음식,35.1497763749217,126.925003997907
신락원 금호점,4.29,광주 서구 운천로 15 거성빌딩,중식당,35.1339948081943,126.858905289408
어나더키친,4.46,광주 서구 풍암순환로 152,중식당,35.1241392195529,126.883795199337
아웃백스테이크하우스 광주광천점,4.46,광주 동구 중앙로 174-1,국수,35.1491623963186,126.914435351051
어나더키친 수완점,4.53,광주 광산구 임방울대로 327,패밀리레스토랑,35.1893791054924,126.822984724958
HAGOS,4.3,광주 동구 동명로 49,퓨전음식,35.1516317962864,126.925981669019
아웃백스테이크하우스 광주상무점,4.51,광주 광산구 왕버들로 175,게요리,35.200542895373,126.829576657651
테스타,4.48,광주 북구 자미로 55,김밥,35.1709650092043,126.904078582102
명품상무팥죽 상무본점,4.35,광주 서구 시청서편로4번길 16,주꾸미요리,35.1590996023757,126.847240553002
애슐리퀸즈 NC 충장점,4.24,광주 광산구 송정로15번길 71,"곱창,막창,양",35.1386352670965,126.796235869284
